,train,val,test
Pancalyze_HE_2_H-7,True,False,False
Pancalyze_HE_2_H-8,True,False,False
Pancalyze_HE_2_H-9,True,False,False
Pancalyze_HE_2_H-10,True,False,False
Pancalyze_HE_3_A-1,True,False,False
Pancalyze_HE_3_A-2,True,False,False
Pancalyze_HE_3_A-7,True,False,False
Pancalyze_HE_3_A-8,True,False,False
Pancalyze_HE_3_A-9,True,False,False
Pancalyze_HE_3_A-10,True,False,False
Pancalyze_HE_3_B-3,True,False,False
Pancalyze_HE_3_B-4,True,False,False
Pancalyze_HE_3_B-7,True,False,False
Pancalyze_HE_3_B-8,True,False,False
Pancalyze_HE_3_C-5,True,False,False
Pancalyze_HE_3_C-6,True,False,False
Pancalyze_HE_3_C-11,True,False,False
Pancalyze_HE_3_C-12,True,False,False
Pancalyze_HE_3_E-5,True,False,False
Pancalyze_HE_3_E-6,True,False,False
Pancalyze_HE_3_E-7,True,False,False
Pancalyze_HE_3_E-8,True,False,False
Pancalyze_HE_3_E-11,True,False,False
Pancalyze_HE_3_E-12,True,False,False
Pancalyze_HE_3_F-1,True,False,False
Pancalyze_HE_3_F-2,True,False,False
Pancalyze_HE_3_G-5,True,False,False
Pancalyze_HE_3_G-6,True,False,False
Pancalyze_HE_3_G-9,True,False,False
Pancalyze_HE_3_G-10,True,False,False
Pancalyze_HE_3_G-11,True,False,False
Pancalyze_HE_3_G-12,True,False,False
Pancalyze_HE_3_H-1,True,False,False
Pancalyze_HE_3_H-2,True,False,False
Pancalyze_HE_3_H-9,True,False,False
Pancalyze_HE_3_H-10,True,False,False
Pancalyze_HE_4_A-7,True,False,False
Pancalyze_HE_4_A-8,True,False,False
Pancalyze_HE_4_A-9,True,False,False
Pancalyze_HE_4_A-10,True,False,False
Pancalyze_HE_4_A-11,True,False,False
Pancalyze_HE_4_A-12,True,False,False
Pancalyze_HE_4_B-1,True,False,False
Pancalyze_HE_4_B-2,True,False,False
Pancalyze_HE_4_B-11,True,False,False
Pancalyze_HE_4_B-12,True,False,False
Pancalyze_HE_6_A-3,True,False,False
Pancalyze_HE_6_A-4,True,False,False
Pancalyze_HE_6_A-5,True,False,False
Pancalyze_HE_6_A-6,True,False,False
Pancalyze_HE_6_A-7,True,False,False
Pancalyze_HE_6_A-8,True,False,False
Pancalyze_HE_6_B-5,True,False,False
Pancalyze_HE_6_B-6,True,False,False
Pancalyze_HE_6_B-7,True,False,False
Pancalyze_HE_6_B-8,True,False,False
Pancalyze_HE_6_B-11,True,False,False
Pancalyze_HE_6_B-12,True,False,False
Pancalyze_HE_6_C-1,True,False,False
Pancalyze_HE_6_C-2,True,False,False
Pancalyze_HE_6_C-5,True,False,False
Pancalyze_HE_6_C-6,True,False,False
Pancalyze_HE_6_C-9,True,False,False
Pancalyze_HE_6_C-10,True,False,False
Pancalyze_HE_6_D-5,True,False,False
Pancalyze_HE_6_D-6,True,False,False
Pancalyze_HE_6_E-7,True,False,False
Pancalyze_HE_6_E-8,True,False,False
Pancalyze_HE_6_E-9,True,False,False
Pancalyze_HE_6_E-10,True,False,False
Pancalyze_HE_6_E-11,True,False,False
Pancalyze_HE_6_E-12,True,False,False
Pancalyze_HE_6_F-9,True,False,False
Pancalyze_HE_6_F-10,True,False,False
Pancalyze_HE_6_H-1,True,False,False
Pancalyze_HE_6_H-2,True,False,False
Pancalyze_HE_6_H-4,True,False,False
Pancalyze_HE_7_A-1,True,False,False
Pancalyze_HE_7_A-2,True,False,False
Pancalyze_HE_7_A-3,True,False,False
Pancalyze_HE_7_A-4,True,False,False
Pancalyze_HE_1_D-1,True,False,False
Pancalyze_HE_1_D-2,True,False,False
Pancalyze_HE_7_B-5,True,False,False
Pancalyze_HE_7_B-6,True,False,False
Pancalyze_HE_7_B-7,True,False,False
Pancalyze_HE_7_B-8,True,False,False
Pancalyze_HE_7_C-1,True,False,False
Pancalyze_HE_7_C-2,True,False,False
Pancalyze_HE_1_D-4,True,False,False
Pancalyze_HE_7_C-7,True,False,False
Pancalyze_HE_7_C-8,True,False,False
Pancalyze_HE_7_C-9,True,False,False
Pancalyze_HE_7_C-10,True,False,False
Pancalyze_HE_7_D-3,True,False,False
Pancalyze_HE_7_D-4,True,False,False
Pancalyze_HE_7_E-1,True,False,False
Pancalyze_HE_7_E-2,True,False,False
Pancalyze_HE_7_E-3,True,False,False
Pancalyze_HE_7_E-4,True,False,False
Pancalyze_HE_7_E-10,True,False,False
Pancalyze_HE_7_E-11,True,False,False
Pancalyze_HE_7_E-12,True,False,False
Pancalyze_HE_7_F-1,True,False,False
Pancalyze_HE_7_F-2,True,False,False
Pancalyze_HE_7_F-9,True,False,False
Pancalyze_HE_7_F-10,True,False,False
Pancalyze_HE_7_G-7,True,False,False
Pancalyze_HE_7_G-8,True,False,False
Pancalyze_HE_7_G-9,True,False,False
Pancalyze_HE_7_G-10,True,False,False
Pancalyze_HE_1_D-7,True,False,False
Pancalyze_HE_1_D-8,True,False,False
Pancalyze_HE_8_A-7,True,False,False
Pancalyze_HE_8_A-8,True,False,False
Pancalyze_HE_8_B-1,True,False,False
Pancalyze_HE_8_B-2,True,False,False
Pancalyze_HE_8_B-3,True,False,False
Pancalyze_HE_8_B-4,True,False,False
Pancalyze_HE_8_B-9,True,False,False
Pancalyze_HE_8_C-5,True,False,False
Pancalyze_HE_8_C-6,True,False,False
Pancalyze_HE_8_C-7,True,False,False
Pancalyze_HE_8_C-8,True,False,False
Pancalyze_HE_8_D-3,True,False,False
Pancalyze_HE_8_D-4,True,False,False
Pancalyze_HE_8_D-11,True,False,False
Pancalyze_HE_8_D-12,True,False,False
Pancalyze_HE_8_E-5,True,False,False
Pancalyze_HE_8_E-6,True,False,False
Pancalyze_HE_8_E-11,True,False,False
Pancalyze_HE_8_E-12,True,False,False
Pancalyze_HE_8_F-1,True,False,False
Pancalyze_HE_8_F-2,True,False,False
Pancalyze_HE_8_F-5,True,False,False
Pancalyze_HE_8_F-6,True,False,False
Pancalyze_HE_8_G-3,True,False,False
Pancalyze_HE_8_G-4,True,False,False
Pancalyze_HE_8_G-7,True,False,False
Pancalyze_HE_8_G-8,True,False,False
Pancalyze_HE_8_H-1,True,False,False
Pancalyze_HE_8_H-2,True,False,False
Pancalyze_HE_1_A-3,True,False,False
Pancalyze_HE_1_A-4,True,False,False
Pancalyze_HE_9_C-5,True,False,False
